time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.5342207472e-07,-1.05733275478e-07,10.010328894,6.28304720717,0.000191543170867,0.0,-2.25964539001e-05,-1.24427883897e-05,0.344256674857,-0.00735635954147,0.00891525960512,0.0,508.8833989616224,509.5209983236366,508.1313088238082,507.60381779746746
0.12000000000000001,-8.4655466866e-06,-6.0163374592e-06,10.0372876565,6.28270653873,0.000511506731773,0.0,-0.000303091547618,-0.000230589599793,0.554289994961,-0.00251581484928,-0.00301980291368,0.0,470.54742153721725,469.6226477852629,471.0748305105517,471.44902370804255
0.18,-4.05734476203e-05,-3.27264959127e-05,10.0792211121,6.28288954738,0.00108892413154,0.0,-0.000802766510135,-0.000655195091106,0.843323876873,0.0123429281368,0.0272670297643,0.0,491.76698681161184,494.0049476294165,493.77692551506493,494.87166359465056
0.23999999999999996,-0.00011969004433,-7.53984615039e-05,10.1344693922,6.28315991699,0.00247603970532,0.0,-0.00200256430898,-0.000702065439589,0.998162490548,-0.0197528040631,0.0131656545762,0.0,455.65494477903883,454.52641165607815,455.6042913905742,453.03120986670814
0.3,-0.000298701413314,-0.000122282308765,10.1984899694,6.28243040951,0.00433265177694,0.0,-0.00412081199061,-0.000960237671201,1.13572940061,-0.000166838964264,0.0531635467255,0.0,447.6976384814494,450.9401914214031,449.2360662399355,450.8213149666686
0.36000000000000004,-0.000679530896422,-0.000200094305904,10.2760859176,6.28265817656,0.00762411871234,0.0,-0.00900558309873,-0.00161735260676,1.45045522079,0.0107325660618,0.0580463137766,0.0,501.03391559653954,501.3903809218822,501.7835231372849,502.57398569995985
0.4200000000000001,-0.00141693699778,-0.000306679856,10.3692650874,0.00027277668147,0.0112797757246,0.0,-0.0159923699814,-0.00185003774764,1.65523972065,0.0180802288923,0.0661416934509,0.0,470.2703827889539,470.8993723702411,471.1574607759477,471.7250136938637
0.48000000000000015,-0.00264210743453,-0.000407131376123,10.4730343632,0.00144325848984,0.0149155755504,0.0,-0.0252625353983,-0.00137523959664,1.80350858602,0.0222205605239,0.0461977267371,0.0,455.28665131611274,453.6907254377444,454.5967355057738,454.9283049968598
0.5400000000000001,-0.00450614532018,-0.000451237071414,10.5860945692,0.00309085713437,0.0183705481299,0.0,-0.0372209119964,7.19545234289e-05,1.96489548341,0.0362882776102,0.0739346449462,0.0,457.84760541708073,460.05095634494006,458.70429072946047,459.8201601837579
0.6000000000000002,-0.00723812783522,-0.00035617027985,10.7123167343,0.00522835752961,0.0227537308218,0.0,-0.0544008498837,0.0033717112836,2.24199659799,0.0342646325365,0.0712298740723,0.0,494.65199673723924,494.4563360421836,492.4873855405295,492.3381170764487
0.6600000000000003,-0.0109556755179,-4.55124513097e-05,10.8484349768,0.00675748583874,0.0270456938414,0.0,-0.0699220617767,0.00716535846389,2.29516114605,-0.00476366428806,0.0721313022202,0.0,426.3134746877377,426.3946626635267,428.91422376297743,425.5869871224461
0.7200000000000003,-0.0156655540892,0.00050827292045,10.9869611132,0.00647314858877,0.0310497666566,0.0,-0.0874551888102,0.0112677156248,2.32231004917,-0.0046895773661,0.0528490475354,0.0,419.32068797752265,417.6458365815454,418.49467845256834,418.5012115515587
0.7800000000000004,-0.0215637422979,0.00131644961942,11.1292003253,0.00630795481836,0.0344478239403,0.0,-0.109478994486,0.0156477571337,2.41878567154,0.000862805867405,0.0632929536629,0.0,440.5746147050481,441.4394413255884,440.98569294147444,441.44413862042944
0.8400000000000004,-0.0288474322909,0.00238390061403,11.2770004058,0.00651389027846,0.0381900649754,0.0,-0.133682374078,0.0199460037688,2.5076771778,0.00813121629906,0.0604601476252,0.0,439.571218746859,439.33926393259185,438.58395038501044,439.1871406409583
0.9000000000000005,-0.0376541659721,0.00371456178565,11.4300130675,0.00738599348089,0.0415400375883,0.0,-0.160218340641,0.0244781844059,2.59253928702,0.0249774265316,0.0444453116321,0.0,438.77636132121376,437.44694510146473,437.8649596117563,439.2640754892815
0.9600000000000005,-0.0480590846014,0.00532784782707,11.5867304705,0.00922562732941,0.0442054946918,0.0,-0.186856599494,0.0294541086347,2.63127089559,0.040115393159,0.0443822116836,0.0,423.89659962656987,423.89240677732005,423.18434268208176,424.4857274356466
1.0200000000000005,-0.0602150162993,0.00729919004471,11.7480617122,0.0114225319397,0.0465691886356,0.0,-0.218594033523,0.0364955293199,2.74614995982,0.0284899712905,0.0268665400375,0.0,449.1876963213473,447.76577274637464,448.886039637542,447.9422562829671
1.0800000000000005,-0.0741106315638,0.00968430266112,11.9117932744,0.0134338880857,0.0482027447642,0.0,-0.244731008061,0.0431630706851,2.71163973385,0.0420530161308,0.0279350997642,0.0,399.8021214864274,399.8997358296099,399.41284436171225,400.6484808818263
1.1400000000000006,-0.0898454855111,0.0125752958859,12.0784690105,0.0163313776455,0.0496334502515,0.0,-0.279917086812,0.0534904458348,2.84388104637,0.0585083474702,0.0140623483275,0.0,454.7074197716281,453.59477240592395,453.7378641150873,455.05832285760835
1.2000000000000006,-0.107646744876,0.016127132778,12.2516106913,0.019552176477,0.050784617355,0.0,-0.31354990518,0.065237691115,2.92728202605,0.041662714111,0.0278490375315,0.0,439.4704922405184,440.6117277117337,440.13553035352345,438.74101297027914
